b,"B(a,b)"
1530,inf
1531,1.933915363658932e-09
1532,1.885265156361401e-09
1533,2.0358105016670402e-09
1534,2.287801237696348e-09
1535,2.769017072414218e-09
1536,3.4042580258512484e-09
1537,4.039478381372333e-09
1538,4.5243452065576634e-09
1539,4.9114878854370396e-09
1540,5.1445464876735945e-09
1541,5.287440374608652e-09
1542,5.328874871203435e-09
1543,5.343986875246101e-09
1544,5.31403877185167e-09
1545,5.325415852120517e-09
1546,5.2943427247642e-09
1547,5.252642575807498e-09
1548,5.207179070553641e-09
1549,5.1579562047899265e-09
1550,5.078600912686876e-09
1551,4.991726397401442e-09
1552,4.916151652700434e-09
1553,4.810456410519559e-09
1554,4.738662168485615e-09
1555,4.64050370575448e-09
1556,4.538597392594032e-09
1557,4.455523986688123e-09
1558,4.357388548621459e-09
1559,4.281849492088299e-09
1560,4.240202774065391e-09
1561,4.206092009172503e-09
1562,4.190803014184356e-09
1563,4.160453622833823e-09
1564,4.137638708474564e-09
1565,4.10353634497669e-09
