1511, 2.15379416953516e-9
1512, 2.1930604481171363e-9
1513, 2.232326726699115e-9
1514, 2.2572852077670563e-9
1515, 2.2929702270467826e-9
1516, 2.33939557629427e-9
1517, 2.371506232149732e-9
1518, 2.4179246855192303e-9
1519, 2.4822390915830043e-9
1520, 2.557280035858565e-9
1521, 2.6215909939833444e-9
1522, 2.685905400047121e-9
1523, 2.771683226351447e-9
1524, 2.832416373112971e-9
1525, 2.8895717085112374e-9
1526, 2.9860864168443293e-9
1527, 3.0611308090588854e-9
1528, 3.161216432877246e-9
1529, 3.2326830137285443e-9
1530, 3.27558281447159e-9
1531, 3.365058022878179e-9
1532, 3.4509753221769457e-9
1533, 3.519030676623296e-9
1534, 3.590654282936516e-9
1535, 3.697981093436488e-9
1536, 3.8124237221521225e-9
1537, 3.90190927331775e-9
1538, 3.9628281240303655e-9
1539, 3.977370043232732e-9
1540, 3.913410421364002e-9
1541, 3.696015969219944e-9
1542, 3.4500755021409456e-9
1543, 3.1256334939908496e-9
1544, 2.7405208613449763e-9
1545, 2.2840638768798044e-9
1546, 1.931075853794765e-9
1547, 1.685125043956726e-9
1548, 1.581924994311482e-9
1549, 1.7249032952030245e-9
1550, 7.944635210888856e-9
1551, 1.8360776120637937e-9
1552, 1.7899489067703716e-9
1553, 1.93294789317998e-9
1554, 2.172279337235997e-9
1555, 2.6292844879299886e-9
1556, 3.232577622406566e-9
1557, 3.835891442401178e-9
1558, 4.2964648449620525e-9
1559, 4.664263698984345e-9
1560, 4.885753883706023e-9
1561, 5.021626709140929e-9
1562, 5.061146391411372e-9
1563, 5.0756676250956715e-9
1564, 5.047390521895621e-9
1565, 5.058364189231121e-9
1566, 5.029015555951434e-9
1567, 4.9895699845417395e-9
1568, 4.946546601768791e-9
1569, 4.89994885557158e-9
1570, 4.82472172259032e-9
1571, 4.742345862760533e-9
1572, 4.670699989081525e-9
1573, 4.570431624496454e-9
1574, 4.502367010119696e-9
1575, 4.4092473723831536e-9
1576, 4.312560267100337e-9
1577, 4.233762218633811e-9
1578, 4.140646028836263e-9
1579, 4.06899670721826e-9
1580, 4.02955113580857e-9
1581, 3.997264635064391e-9
1582, 3.982863743197505e-9
1583, 3.954148157938593e-9
1584, 3.932591643345191e-9
1585, 3.90030514260101e-9
1586, 3.84654832573829e-9
1587, 3.796365872299832e-9
1588, 3.7533459374658794e-9
1589, 3.7282150594482136e-9
1590, 3.6923472994017813e-9
1591, 3.66363171414287e-9
1592, 3.6850089359085605e-9
1593, 3.706386157674251e-9
1594, 3.73492245010545e-9
1595, 3.767029658021917e-9
1596, 3.7848290684243486e-9
1597, 3.809784101553295e-9
1598, 3.831161323318986e-9
1599, 3.852541993023669e-9
1600, 3.877497026152616e-9
